hour,mean_vehs,mean_queue_s,mean_occup
0,690.5995670995671,215.4372483766234,0.322863547979798
1,689.1429473304473,214.57749068061568,0.32104382936507936
2,687.1513347763348,213.03750375781627,0.32004401695526696
3,684.2098665223665,214.11789411976912,0.3163125703463203
4,688.4017857142857,213.66275432900434,0.31546841630591627
5,685.0960497835498,213.3755387205387,0.31889872655122653
6,687.478354978355,215.01809809403562,0.319006351010101
7,687.9945887445888,213.17236592111593,0.31723031385281386
8,1150.9241522366522,246.63724762506013,0.4421093344155844
9,1160.9273088023087,257.70073051948054,0.4444474567099567
10,701.1992243867244,221.60520908489661,0.3225906150793651
11,683.6057900432901,213.9397818963444,0.3173249476911977
12,687.3742784992785,215.00336715367965,0.3192982503607504
13,682.0366161616162,214.0821581890332,0.315304246031746
14,689.8730158730159,213.7812364718615,0.3183018650793651
15,686.3968253968254,214.9269155844156,0.31658313311688313
16,684.4787157287158,211.7870603354978,0.3180323520923521
17,676.2672258297258,207.04041351010102,0.30692690295815295
18,879.8594877344877,220.6669551166426,0.38732192099567103
19,905.4570707070707,225.26693046536798,0.3996246158008658
20,693.9481421356421,216.57971726190473,0.32048179653679654
21,685.4524711399712,213.0808857924483,0.3171888257575758
22,684.7944624819625,214.01854722823475,0.3143283170995671
23,682.224025974026,212.54087827681576,0.3157940999278499
