LINK_ID,mean_queue_s,mean_occup,mean_speed_kmh,congested_pct
37,380.6203174603175,0.41944385416666663,20.074592113095235,5.63
36,366.48864831349204,0.6208181200396825,21.41709310515873,15.2
42,330.757427662037,0.2857407142857143,17.07355783730159,0.67
16,328.73043568121693,0.5528740724206349,24.880754613095238,6.2
35,323.49557829034393,0.3153014781746032,21.860264880952382,0.07
38,312.9391526124339,0.15841564484126983,21.06717748015873,0.0
30,311.2045539847884,0.45610466269841266,17.44359350198413,2.28
5,308.96121610449734,0.8414558978174603,23.972672718253968,3.87
41,305.6036673280423,0.3456383035714286,21.062486359126986,0.0
53,300.4091302910053,0.24186944444444444,20.54159255952381,0.0
49,299.8331365740741,0.18779826884920633,19.785635863095237,0.0
32,299.56777529761905,0.26274690476190476,22.38275064484127,0.0
50,293.35922784391533,0.16903937996031745,17.161848759920634,0.0
17,290.11759176587304,0.4418561359126984,17.042002281746033,1.46
29,288.170701058201,0.10639837797619046,19.331883234126984,0.0
9,280.17704034391534,0.43021945436507936,17.587751984126985,0.02
56,276.9773540839947,0.3377284722222222,23.83570818452381,0.0
43,275.34350446428573,0.25326126984126984,15.44003060515873,0.0
31,266.22679191468256,0.6087820238095238,23.293368700396826,0.4
46,263.11599619709,0.6373794146825397,19.670516964285714,0.15
55,260.3608486276455,0.4866638194444444,24.085264037698412,0.0
10,258.63970940806877,0.687323685515873,24.711232490079365,0.0
44,255.4576136739418,0.7217403075396825,19.693041617063493,0.3
59,255.27481192129628,0.3743367113095238,26.741863640873014,0.0
47,245.51008019179895,0.31252470734126986,21.683231200396825,0.0
6,243.65570105820106,0.6021872470238094,21.375168601190477,0.0
15,240.17473544973544,0.8415145238095237,25.818004513888887,0.0
23,240.0447052744709,0.058754042658730146,16.224531299603175,0.0
60,234.64300264550263,0.5626542410714286,25.157763194444446,0.17
45,228.6241720403439,0.4322976736111111,17.591836855158732,0.05
61,216.61404720568785,0.2752690972222222,17.403668253968256,0.0
13,212.29205191798943,0.4252201091269841,15.416713392857142,0.0
48,212.0428120866402,0.737507058531746,21.450863839285713,0.0
7,210.74874958664023,0.3570297817460317,11.369680952380952,0.0
27,209.33706514550263,0.075606185515873,13.197208283730157,0.0
18,207.47959077380952,0.36831511904761904,19.65559350198413,0.0
58,194.47195560515874,0.053088784722222206,11.069506646825397,0.0
24,191.16169518849205,0.1281967609126984,15.550458134920635,0.0
4,187.60239624669313,0.5751033581349205,18.09165322420635,0.0
34,186.50296213624338,0.20864115079365078,12.7333,0.0
39,184.3317228835979,0.05674001488095237,12.000588988095238,0.0
40,182.82734416335978,0.06759601190476189,10.79166507936508,0.0
54,180.22583540013227,0.3116811111111111,20.81294151785714,0.0
52,180.02184565145504,0.13223656746031745,11.047016369047618,0.0
12,179.51161871693122,0.35728230654761906,13.061032341269842,0.0
33,175.87715029761907,0.3375632986111111,11.889078075396824,0.0
2,175.66438740079366,0.6710496626984127,15.492034722222222,0.0
57,175.65777157738094,0.1331328720238095,11.44047380952381,0.0
1,168.53185598544974,0.5917056299603174,17.57876780753968,0.0
21,167.103863260582,0.074503060515873,10.341113839285715,0.0
20,164.62421750992064,0.07628110615079364,10.234247073412698,0.0
51,157.33866484788362,0.14872373015873014,11.09157306547619,0.0
3,156.5938471395503,0.6794106845238095,14.979149305555556,0.0
65,153.2214604001323,0.12613952876984125,13.104953125,0.0
64,145.25180224867725,0.1630729861111111,12.911783630952382,0.0
11,143.24460400132273,0.43427983134920634,15.626579067460318,0.0
26,140.55779348544974,0.07350048611111111,10.760260962301587,0.0
25,133.0346238425926,0.06208825892857142,9.46121185515873,0.0
28,122.8503765707672,0.06784155753968253,10.295234226190477,0.0
63,113.26542782738096,0.16366410714285712,13.847085515873015,0.0
14,110.46417080026455,0.36975988095238094,13.270898015873017,0.0
66,105.29576967592592,0.20059756448412697,13.653916021825395,0.0
8,100.69029431216931,0.3689015922619048,9.672190525793651,0.0
19,100.26696469907408,0.024044722222222214,7.513838492063492,0.0
22,97.78731894841269,0.025822767857142846,7.406971726190476,0.0
62,78.42786830357143,0.3984821428571429,15.091593154761904,0.0
