iter	Logloss
0	0.4850738977
1	0.3790150975
2	0.3079722583
3	0.2692923048
4	0.2371159286
5	0.2127138795
6	0.1968214377
7	0.1852939058
8	0.1772061572
9	0.164601833
10	0.161559387
11	0.1580043238
12	0.1528598708
13	0.1502216778
14	0.1473975435
15	0.145401496
16	0.1444440272
17	0.1419952122
18	0.1414668877
19	0.1409101846
20	0.1400758993
21	0.1392341136
22	0.1388362378
23	0.1385853746
24	0.1382235197
25	0.138048253
26	0.137593633
27	0.1374096462
28	0.1368572312
29	0.1366597665
30	0.1362880503
31	0.1361075782
32	0.1355010884
33	0.1352117361
34	0.1350478395
35	0.1348578429
36	0.1346372604
37	0.134396546
38	0.1341993041
39	0.1339047601
40	0.1338309928
41	0.1337535887
42	0.1336471234
43	0.133515731
44	0.1334234342
45	0.1332571737
46	0.1331781908
47	0.1330938499
48	0.1330157157
49	0.1329609547
50	0.1329008381
51	0.1327995286
52	0.132668886
53	0.1326067056
54	0.1324725594
55	0.1323775014
56	0.1322900115
57	0.1322082449
58	0.1320643522
59	0.1319988533
60	0.1319334531
61	0.1317669977
62	0.1315753347
63	0.131489637
64	0.1313658271
65	0.131285937
66	0.1311870894
67	0.1311186488
68	0.1310644737
69	0.1309720284
70	0.1308929143
71	0.1307766347
72	0.1306981712
73	0.1305955717
74	0.1305378046
75	0.1304552079
76	0.1304043445
77	0.1303279987
78	0.1302603336
79	0.130181559
80	0.1301197465
81	0.1300409353
82	0.1299811732
83	0.1299156885
84	0.1298025092
85	0.1296805942
86	0.1296270408
87	0.1295220196
88	0.1294211845
89	0.1293479333
90	0.1292738815
91	0.1291763274
92	0.1291186941
93	0.1290171622
94	0.1289723368
95	0.1288990465
96	0.1288638431
97	0.1288050569
98	0.1287462535
99	0.1286482936
100	0.12859143
101	0.1285486957
102	0.1284788955
103	0.1284259535
104	0.1283586298
105	0.1283224286
106	0.1282814117
107	0.1282174901
108	0.1281753225
109	0.1281288977
110	0.1280772723
111	0.1280221281
112	0.1279704701
113	0.1279024201
114	0.127860226
115	0.1278335387
116	0.1277720279
117	0.1277088576
118	0.1276310518
119	0.1275910323
120	0.1275528177
121	0.1274885257
122	0.1274361609
123	0.1273891288
124	0.1273229973
125	0.1272500969
126	0.1272003155
127	0.12714261
128	0.1270783733
129	0.127040459
130	0.1269663218
131	0.1269161061
132	0.1268459384
133	0.1267923806
134	0.1267397734
135	0.1266703597
136	0.1266241073
137	0.1265661446
138	0.126522896
139	0.1264645465
140	0.1264362806
141	0.1263676017
142	0.1263139791
143	0.126265461
144	0.1262026522
145	0.1261338443
146	0.1260783776
147	0.126015343
148	0.1259696498
149	0.125926866
150	0.1258819504
151	0.1258324976
152	0.1257759878
153	0.1257362429
154	0.1257052549
155	0.1256481272
156	0.1255883349
157	0.1255413931
158	0.1254886724
159	0.1254612777
160	0.125391562
161	0.1253449508
162	0.1252797688
163	0.1252360287
164	0.1251987655
165	0.125146629
166	0.1251194329
167	0.1250626593
168	0.1249944581
169	0.1249550034
170	0.1248996033
171	0.1248514147
172	0.1248190148
173	0.1247581897
174	0.1246938966
175	0.1246490417
176	0.1246203447
177	0.1245876954
178	0.1245200997
179	0.1244651293
180	0.1244275091
181	0.1243626918
182	0.1243128499
183	0.1242806118
184	0.1242475534
185	0.1241950295
186	0.1241442494
187	0.12409892
188	0.1240623428
189	0.124031759
190	0.1240003899
191	0.1239548017
192	0.1239100009
193	0.1238501583
194	0.1237900294
195	0.1237241269
196	0.1236885961
197	0.1236724523
198	0.1236404217
199	0.1235948466
200	0.1235672815
201	0.1235186371
202	0.1234876589
203	0.1234656909
204	0.1234310356
205	0.1233879994
206	0.1233566953
207	0.1233357372
208	0.1232874697
209	0.1232503199
210	0.1232182
211	0.1231860805
212	0.1231577697
213	0.123121254
214	0.1230719202
215	0.1229974795
216	0.1229435243
217	0.1229171517
218	0.1228685619
219	0.1228186898
220	0.1227815737
