model,accuracy,precision,recall,f1_weighted,f1_macro,roc_auc,pr_auc,train_time_s,infer_ms_per_row
lightgbm,0.9378,0.7505,0.772,0.9382,0.8627,0.9726,0.8349,4.05,0.0116
xgboost,0.9356,0.7415,0.7644,0.936,0.8579,0.9724,0.8352,4.56,0.0068
random_forest,0.9366,0.7533,0.7522,0.9366,0.8582,0.9713,0.8273,75.94,0.0228
extra_trees,0.9347,0.7579,0.7213,0.934,0.8509,0.9684,0.8131,34.62,0.033
gradient_boosting,0.9297,0.7528,0.6729,0.928,0.8353,0.9561,0.7677,37.23,0.0008
decision_tree,0.931,0.7207,0.7543,0.9317,0.8487,0.9495,0.7491,1.39,0.0001
